date,hour,temperature,humidity,pressure,weather
2015-01-15,03,5.4,91,101.27,
2015-01-15,04,4.5,88,101.20,
2015-01-15,05,4.3,88,101.15,
2015-01-15,06,4.4,89,101.16,
2015-01-15,07,4.8,86,101.09,
2015-01-15,08,5.4,75,101.05,
2015-01-15,09,5.9,88,101.03,
2015-01-15,10,6.0,87,101.01,
2015-01-15,11,6.1,74,100.95,
2015-01-15,12,7.0,78,100.91,
2015-01-15,13,7.1,75,100.79,
2015-01-15,14,7.6,79,100.71,
2015-01-15,15,7.2,78,100.67,
2015-01-15,16,7.0,80,100.53,
2015-01-15,17,7.2,85,100.38,
2015-01-15,18,8.1,87,100.30,
2015-01-15,19,7.8,86,100.12,
2015-01-15,20,8.2,88,99.96,
2015-01-15,21,7.9,88,99.81,
2015-01-15,22,7.9,89,99.76,
2015-01-15,23,8.1,88,99.76,
2015-01-15,24,8.5,87,99.88,
2015-01-16,01,9.1,86,99.97,
2015-01-16,02,9.5,81,100.01,
2015-01-16,03,9.1,80,100.11,
2015-01-16,04,9.4,76,100.22,
2015-01-16,05,9.3,75,100.34,
2015-01-16,06,9.3,73,100.44,
2015-01-16,07,9.0,77,100.61,
2015-01-16,08,8.7,79,100.72,
2015-01-16,09,8.4,81,100.84,
2015-01-16,10,8.9,79,100.99,
2015-01-16,11,10.0,75,101.13,
2015-01-16,12,10.3,73,101.27,
2015-01-16,13,11.0,66,101.26,
2015-01-16,14,11.5,63,101.30,
2015-01-16,15,11.8,59,101.39,
2015-01-16,16,10.5,59,101.42,
2015-01-16,17,11.0,57,101.44,
2015-01-16,18,8.3,81,101.44,
2015-01-16,19,8.7,79,101.49,
2015-01-16,20,6.6,86,101.43,
2015-01-16,21,6.6,89,101.44,
2015-01-16,22,6.8,88,101.51,
2015-01-16,23,7.5,88,101.45,
2015-01-16,24,7.1,88,101.31,
2015-01-17,01,7.6,85,101.38,
2015-01-17,02,6.6,86,101.27,
2015-01-17,03,6.2,83,101.20,
2015-01-17,04,6.4,81,101.13,
2015-01-17,05,6.4,79,101.09,
2015-01-17,06,6.4,77,100.96,
2015-01-17,07,6.9,70,100.85,
2015-01-17,08,6.9,77,100.78,
2015-01-17,09,6.8,78,100.72,
2015-01-17,10,7.0,74,100.66,
2015-01-17,11,7.7,67,100.67,
2015-01-17,12,7.5,66,100.65,
2015-01-17,13,7.2,73,100.50,
2015-01-17,14,6.6,83,100.45,
2015-01-17,15,6.4,83,100.36,
2015-01-17,16,7.0,80,100.25,
2015-01-17,17,7.5,77,100.21,
2015-01-17,18,6.5,87,100.15,
2015-01-17,19,6.4,91,100.05,
2015-01-17,20,6.5,94,99.90,
2015-01-17,21,7.0,94,99.74,
2015-01-17,22,7.3,95,99.55,
2015-01-17,23,7.1,95,99.40,
2015-01-17,24,7.7,95,99.22,
2015-01-18,01,8.7,95,99.10,
2015-01-18,02,8.6,95,99.02,
2015-01-18,03,9.3,95,99.20,
2015-01-18,04,10.5,76,99.40,
